emotion,ID,task,decision maker,HitL mc,MC Human OR,mc error,reading check error,fairness,fairness_OR,happy,joyful,proud,disappointed,angry,frustrated,emotion_OR,trust,trust_OR,programming exp,age,gender,education,ethnicity,algorithm definition
4.0,R_24hIN8eWxbjDWZ3,2,1,1.0,0,0.0,0.0,4.0,nothing in life is fair,4,4,4,4,4,4,i dont know chris,1.0,its a computer i dont trust it,2.0,27.0,2.0,5.0,1.0,computer programs
4.166666666666667,R_1mmiO243HPdavxi,4,1,1.0,0,0.0,0.0,4.0,it just makes senes 2 me,4,4,5,4,3,5,i feel that way,4.0,i oculd trust it a little,2.0,32.0,2.0,3.0,1.0,computer using data to make answers
4.0,R_1NqSDpY0IaH6Xei,2,2,3.0,I am not sure,0.0,0.0,4.0,No opinion,2,2,3,2,3,2,0,4.0,0,1.0,25.0,2.0,2.0,1.0,0
3.3333333333333335,R_2t5av5oGbugkr1s,4,5,5.0,0,0.0,0.0,6.0,An assessment is an expected and reasonable part of the work process.,3,3,4,5,4,5,It's not exciting being evaluated because it introduces risk to one's job.,4.0,"I don't know this person, but I trust most people somewhat.",3.0,32.0,2.0,5.0,1.0,0
3.0,R_3kdIca69q065NSC,4,5,5.0,0,0.0,0.0,4.0,i have no idea what the manager is evaluating. wtf is tone of thier calls telling him.,1,1,1,1,1,7,cuz chris doesnt know wtf the manager is doing either,1.0,far as i can tell may as well call my evaltuion voodoo,3.0,45.0,2.0,5.0,7.0,0
4.0,R_V53LksMgW6diZTb,2,5,5.0,0,0.0,0.0,4.0,The manager is scheduling based upon the worker's ability,4,4,4,4,4,4,I don't know Chris so I don't know how he would feel. ,5.0,I don't know what data points he is using to make the decision. ,1.0,38.0,1.0,4.0,1.0,0
5.833333333333333,R_vuhgVIDss9TKFbz,2,5,5.0,0,0.0,0.0,7.0,The manager has the power to schedule Chris when he needs him. The manager checked the availability of employees.,5,5,4,1,1,1,I feel like most people like working in the mornings the most.,6.0,If he took into consideration the employess schedules and availability then he should be trusted. ,1.0,25.0,2.0,3.0,1.0,0
6.5,R_2A0RPCtktgWbjZx,2,4,3.0,the manager gave the algorithm the power to decide the scheduled hours,0.0,0.0,6.0,"it gives everyone equal hours, not favored ",6,7,7,2,2,1,he gets good hours,6.0,they can set it to be equal ,2.0,23.0,1.0,3.0,1.0,some type of demand or program for computers to read
5.333333333333333,R_21AQ7g02XuHB9eL,2,3,3.0,"The manager uses the algorithm, which bases scheduling on availability and business of the coffee shop.",0.0,0.0,6.0,There are no biases to algorithm.  It is when he is available and needed the most.,5,4,4,1,2,2,I would think that Chris was just happy to have a job and didn't really have much of problem either way.,6.0,It is a sound logic for his algorithm.  ,1.0,37.0,2.0,5.0,1.0,Data-driven analyses that then give solutions.
4.166666666666667,R_b30FjevCnJceT4d,3,4,1.0,"the manager is in person, the algorithm uses data. ",1.0,0.0,5.0,an algorithm can't capture the soul and character of a person completely. ,5,3,5,5,4,3,i think he has mixed feelings. ,4.0,an algorithm is useful but not 100 percent accurate. ,2.0,22.0,1.0,5.0,1.0,analyzes data. 
