fairness code,emotion code,trust code,20 types,fairness,trust,emotion,ID,fairness OR,trust OR,emotion OR
,16,9,"2,3",5,3,3.833333333,R_etUBwaoLC2aP9yF,Well I personally think that in most cases the algorithmic analysis might be accurate but in some cases it might not be. This could be an advantage for some but a disadvantage to others.,If the algorithmic analysis isnt calibrated right the selection may not actually be of the best candidates.,Well the statement above never tells me if chris has been choosen. For me to accurately anticipate his feelings I would need to know that information. So the answers to the above statements were a guess to the unknown.
1,8,52,"3,4",3,2,3,R_2dzlhEaTnuuXSfj,a computer can't be capable of feelings," i would rather be judged by a human, not a computer",again the computer is not capable of feelings or emotions
1,8,1,"2,2",6,2,4.333333333,R_2DRYIZUGLLg4GO5,A well made algorithm should be fair and unemotional.,Usually managers have no choice when it comes to following certain protocols.,It is a bit impersonal.
1,16,9,"3,2",5,2,3.833333333,R_Q4Zodysq1dnIYI9,"Since the algorithm considers employee availability and the number of customers only, it does not discriminate but also does not help those with special circumstances.","The algorithm looks at employees' availabilities and the number of customers throughout the day, but it is not known exactly how the algorithm makes these decisions, and whether such decisions are fair.","Chris might be happy that he has the ability to handle the morning demand, but he may be disappointed that he has to work in such a high pressure environment every day."
1,8,1,"2,4",4,3,3,R_1NCTx5hlsXbZhFR,It's up to the discretion of the manager and those in charge to use means that they feel is right. Though it might have less of a bias compared to not using one though.,"More trust would mean that the manager probably wouldn't use the algorithmic analysis or if he did use it, he wouldn't rely on it as much.","I would feel the exact same way, annoyed and a little upset over having something without human judgement, judging, me and my work. It probably doesn't account for some things that a person could pick up on or notice."
1,"8, 9",1,"2,3",6,3,3.333333333,R_3JyZGYQZ7PyC5Ku,It is fair because it shows that the manager is not being particularly biased towards Chris.,There is only little trust to give because the manager is using a computer to make the important decision.,Chris might feel frustrated about the fact that the manager is relying on a computer.
1,9,1,"3,3",6,3,3,R_11crURigrY3oWmx,It is not selected on any personal bias but is automated.,"If it is being used already then it must be somewhat effective, but the automation loses the complete human touch when selecting candidates.","He may be expected an actual person to select his resume, but now he has to figure out how to get past the algorithm!"
1,1,"1, 9","1,4",5,4,4,R_2w513K5YLj4fcPh,An algorithm is unbiased but may not be able to notice subtle details,Alogrithms can make unbiased judgements but lack the ability to adjust to various situations.,Chris may want a more personal evaluation but may like that the alogrithm is unbiased.
1,1,6,"2,4",6,4,4.833333333,R_s5AhFklTQQnEYhj,If the algorithm assumed to be competent it wouldn't have any unfair biases that people would have and make judgements more fairly than most people.,It depends on who made the algorithm and how much input the manager has. I think I could afford some trust.,Putting myself in those shoes I would be happy to have non biased judgment of my performance.
1,100a,1,"1,4",5,4,3.166666667,R_23eJc1LtNFzTp78,"It gives an objective way to analyze the workers. While there are many factors involved, an algorithm gives workers a formula to know how to be successful at their job.","An algorithm won't be 100% perfect, but it gives a single and unbiased way of evaluation.","I don't think Chris would be particularly positive or negative towards this evaluation method. Because it is a set algorithm, Chris should have a blueprint on how to get a better evaluation."
1,100a,"10, needs more info","1,3",4,4,4,R_2P0CGG6jrPpXrVH,"Assuming it was programmed properly, the algorithm will be completely unbiased about the candidates. This should lead to fairer selections for the interviews.","The algorithm is only as good as it's designer, and that designer is a human. I can't have full trust in it without more information.","Chris hasn't gotten his results yet, I so I don't think he'd be feeling anything yet."
1,100a,"7, 9","1,3",6,4,5,R_12o4WPgciSIsWDY,It is an objective process,"I do not know what the criteria are, but as it is a machine it should process those calculations fairly accurately. However, I have experienced errors with computerized processes in the past.",There is nothing particular about this process that he should feel especially happy or sad
1,100c,1,"2,1",5,4,3.5,R_9t7W4ZJxkddSPPH,It's fair because it's unbiased and objective.,It sounds like an objective formula so it should be trustworthy but who knows how it works,I am just guessing.
1,16,6,"2,2",4,4,4,R_DJjP2LaAkGD3jJ7,The algorithm doesn't discriminate against employees in decisions,"The manager is looking out for the business, most likely, which is a good scheduling decision",Chris's feelings would rely more on Chris's preferred schedule than the algorithm
1,16,9,"3,2",6,4,3.666666667,R_29dgGTb6NL6l6yS,The algorithm doesn't make it's decisions based off feelings but objective data.,I think a computers judgement of a situation is too literal to be useful enough to make decisions.,It's really hard to say it depends on weather or not Chris likes his job.
1,51,4,"4,3",6,4,4.5,R_3pcieNp05hCFQHM,I think it's fair because the algorithm doesn't discriminate and will select the top applicants.,I think I would put some trust in it but it depends on who created it and the rules it follows.,I think as an Engineer Chris will understand that they want the best person for the job.
1,9,18,"1,3",5,4,2.666666667,R_1InpczyR2kE7MHj,"I think the algorithm will not have the same amount of bias as a human reviewer, but it will likely have a degree of bias from the programmer.",I believe the algorithm will find the candidates who meet the job specs in theory...though it might not be best for the department in actuality,"I think Chris will distrust the algorithm and feel it's too impersonal, that he's up against a system that has no way of creating exceptions to the rule."
1,9,"3, 8","1,3",7,4,3.666666667,R_3plu1JMzXLjTsAK,The company has the right to use any method for its hiring process as long as it is objective and fair.,"I think the algorithm could save manpower in narrowing down the pool of applicants based on objective data, though I think humans are still required to assess personal statements.","I think Chris might feel limited to just an application, and may question how the algorithm assess the personal statement."
1,needs more info,needs more info,"3,2",5,4,3.833333333,R_2ckMhqaVIoSbuI2,Algorithms are not biased,It depends on the input the manager gives it,It depends on whether Chris likes to work mornings or not
1,needs more info,needs more info,"1,3",4,4,4,R_2ymk3M9tAYwWuEN,"It depends on the algorithm, if it is sophisticated enough, I could see it removing cultural biases from the decision process OR maybe it has biases of it's own.  I don't have enough information.","Again, it depends on the algorithm.  I don't have enough information from what is stated.","I reread the scenario, I don't see that Chris made the cut or not.  I can't say how he feels."
1,needs more info,needs more info,"2,1",6,4,4,R_2CUsW5ANEOO32Id,It makes it so everyone has an equal chance,Don't know him so can't really tell,Depends if he wanted to or not
1,100a,3,"4,2",5,5,3.666666667,R_OMSkciY3t3nH2QV,An algorithm does not play favorites,An algorithm could be trusted to be efficient.,I don't think Chris would have feelings about the situation unless it caused him problems
1,100a,6,"2,1",6,5,4,R_01wl0IVInDhazBL,It seems unbiased.,I think he will stay mostly unbiased.,I think Chris would feel mostly neutral.
