StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q112,Q72,Q92_1,Q96_1,Q1644,Q1645,Q1646_1,Q1646_2,Q1646_3,Q1646_4,Q1646_5,Q1646_6,Q1647,Q1648,Q1649,Q1650,Q1654,Q1655,Q1656_1,Q1656_2,Q1656_3,Q1656_4,Q1656_5,Q1656_6,Q1657,Q1658,Q1659,Q1660,Q1664,Q1665,Q1666_1,Q1666_2,Q1666_3,Q1666_4,Q1666_5,Q1666_6,Q1667,Q1668,Q1669,Q1670,Q1674,Q1675,Q1676_1,Q1676_2,Q1676_3,Q1676_4,Q1676_5,Q1676_6,Q1677,Q1678,Q1679,Q1680,Q98,Q1684,Q1685,Q1686_1,Q1686_2,Q1686_3,Q1686_4,Q1686_5,Q1686_6,Q1687,Q1688,Q1689,Q1690,Q1694,Q1695,Q1696_1,Q1696_2,Q1696_3,Q1696_4,Q1696_5,Q1696_6,Q1697,Q1698,Q1699,Q1700,Q1704,Q1705,Q1706_1,Q1706_2,Q1706_3,Q1706_4,Q1706_5,Q1706_6,Q1707,Q1708,Q1709,Q1710,Q1714,Q1715,Q1716_1,Q1716_2,Q1716_3,Q1716_4,Q1716_5,Q1716_6,Q1717,Q1718,Q1719,Q1720,Q867,Q1724,Q1725,Q1726_1,Q1726_2,Q1726_3,Q1726_4,Q1726_5,Q1726_6,Q1727,Q1728,Q1729,Q1730,Q1846,Q1757,Q1758,Q1759_1,Q1759_2,Q1759_3,Q1759_4,Q1759_5,Q1759_6,Q1760,Q1761,Q1762,Q1763,Q1847,Q1787,Q1788,Q1789_1,Q1789_2,Q1789_3,Q1789_4,Q1789_5,Q1789_6,Q1790,Q1791,Q1792,Q1793,Q1848,Q1817,Q1818,Q1819_1,Q1819_2,Q1819_3,Q1819_4,Q1819_5,Q1819_6,Q1820,Q1821,Q1822,Q1823,Q1849,Q1734,Q1735,Q1736_1,Q1736_2,Q1736_3,Q1736_4,Q1736_5,Q1736_6,Q1737,Q1738,Q1739,Q1740,Q1767,Q1768,Q1769_1,Q1769_2,Q1769_3,Q1769_4,Q1769_5,Q1769_6,Q1770,Q1771,Q1772,Q1773,Q1797,Q1798,Q1799_1,Q1799_2,Q1799_3,Q1799_4,Q1799_5,Q1799_6,Q1800,Q1801,Q1802,Q1803,Q1827,Q1828,Q1829_1,Q1829_2,Q1829_3,Q1829_4,Q1829_5,Q1829_6,Q1830,Q1831,Q1832,Q1833,Q1744,Q1745,Q1746_1,Q1746_2,Q1746_3,Q1746_4,Q1746_5,Q1746_6,Q1747,Q1748,Q1749,Q1750,Q1777,Q1778,Q1779_1,Q1779_2,Q1779_3,Q1779_4,Q1779_5,Q1779_6,Q1780,Q1781,Q1782,Q1783,Q1807,Q1808,Q1809_1,Q1809_2,Q1809_3,Q1809_4,Q1809_5,Q1809_6,Q1810,Q1811,Q1812,Q1813,Q1837,Q1838,Q1839_1,Q1839_2,Q1839_3,Q1839_4,Q1839_5,Q1839_6,Q1840,Q1841,Q1842,Q1843,Q69,Q67,Q64,Q69 2,Q73,type,task,Enter Embedded Data Field Name Here...
7/17/17 8:26,7/17/17 8:28,0,24.255.153.3,100,120,1,7/17/17 8:28,R_1IyOEG677dwwNuz,,,,,37.77380371,-97.31310272,anonymous,EN,A321AGEY23DDEH,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,It provides a standard by which the company can measure productivity and efficiency.,4,2,3,5,5,5,I feel like he would be wary of the algorithm no matter what.,3,"Algorithms are helpful, but shouldn't be the end-all be-all of evaluation.",1,Computer-based formulas that determine outcomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,2,6,1,1,4,
7/17/17 8:26,7/17/17 8:29,0,198.174.0.30,100,162,1,7/17/17 8:29,R_2zcooRS33lD5E3K,,,,,45.01010132,-93.15190125,anonymous,EN,A1OIPSWKV6DVUF,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"There's no accountability for Chris, and his assessment is probably slanted.",1,1,1,6,5,6,It's disappointing but doesn't make me irate. ,3,There's going to be personal bias. ,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35,2,5,1,5,4,
7/17/17 8:27,7/17/17 8:29,0,24.189.33.24,100,120,1,7/17/17 8:29,R_2zeTV73jrvj7lJV,,,,,40.84779358,-74.70970154,anonymous,EN,AXPOBOA6RMCV0,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Math equations done by a computer,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Algorithms are just so impersonal.,4,3,3,3,4,3,If i were him i'd want to make my schedle witha human being,2,It's not a human with a mind.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,1,5,1,3,2,
7/17/17 8:27,7/17/17 8:29,0,199.244.50.45,100,143,1,7/17/17 8:29,R_3lRlIHJfHzoCwFc,,,,,40.73910522,-73.98259735,anonymous,EN,A2L24GZ7YWKGDE,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Algorithms are very important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Very fair,6,1,7,2,2,1,Little bit creative,6,Some more response,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,2,5,1,2,4,
7/17/17 8:26,7/17/17 8:29,0,108.129.40.16,100,226,1,7/17/17 8:29,R_3hgN3RZWu7Ejlbs,,,,,31.522995,-84.30239868,anonymous,EN,A3LC6M2EMDBBXP,"1,2",3,6,,,,,,,,,,,,,6,what else are managers for,3,3,3,3,3,3,no,3,no,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,1,3,1,5,2,
7/17/17 8:26,7/17/17 8:30,0,76.117.19.27,100,227,1,7/17/17 8:30,R_3mfRgvDiQykNVmb,,,,,39.36520386,-74.43779755,anonymous,EN,A954IZFSP9UN,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algorithms are like programs that are designed to pick out certain things ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,because the algorithm cant pick up on the way humans actually act ,2,2,3,5,3,6,I think he would feel a little frustrated because it could come down to just randomness ,5,It is based on what the company needs so it is bound to make an alright decision ,1,,,,,,,,,,,,,2,20,2,3,1,4,3,
7/17/17 8:26,7/17/17 8:30,0,98.213.21.48,100,198,1,7/17/17 8:30,R_3kuHJtONoPEElnX,,,,,41.38319397,-89.14610291,anonymous,EN,A2BZY06YRWGEDL,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They are special computer programs to make things easier so humans don't have to do it. ,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Seems like it knows what its doing. Thats how they work,3,3,3,1,1,1,I mean no one loves work but hey it's his job so he has to take it in stride,5,Well algorithm are made to be smart so,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,2,2,1,3,2,
7/17/17 8:26,7/17/17 8:30,0,73.64.44.32,100,231,1,7/17/17 8:30,R_C9baLaKEIogVo2Z,,,,,40.0019989,-76.68360138,anonymous,EN,A27SMEOPKV84VI,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,7,The manager is taking the time out to personally review each resume and statement to find the best fit.  He should narrow them down before doing interviews.,4,4,4,4,4,4,I don't know if Chris was selected for an interview so I don't know how he would feel.,6,The manager wants to find the best fit for his company.  I would trust the manager to do everything he can to make the right decision.,1,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35,1,2,1,5,3,
7/17/17 8:27,7/17/17 8:30,0,73.202.31.202,100,135,1,7/17/17 8:30,R_brckhko6yEoGU7f,,,,,38.3565979,-121.9877014,anonymous,EN,AZ9BZONG644TU,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,programs that give predictions based on previous data ,,,,,,,,,,,,,,6,Seems like a legit way to schedule ,6,4,4,2,2,2,Why would Chris be upset about this ? ,5,Some things those algorithms can not predict ,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34,1,4,1,2,2,
7/17/17 8:26,7/17/17 8:30,0,24.167.145.131,100,202,1,7/17/17 8:30,R_3Gkbpy3lfc5D9NH,,,,,36.46170044,-80.61910248,anonymous,EN,A2C84POENS2UNY,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,Since a machine makes the decision there's no bias involved,4,4,4,1,1,1,"I think he'd feel neitral, there's no reason to really have emotion about it",6,I have no reason not to trust it,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Math processes that make decisions using inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36,1,6,1,1,1,
