StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q112,Q72,Q92_1,Q96_1,Q1724,Q1725,Q1726_1,Q1726_2,Q1726_3,Q1726_4,Q1726_5,Q1726_6,Q1727,Q1728,Q1729,Q1730,Q1757,Q1758,Q1759_1,Q1759_2,Q1759_3,Q1759_4,Q1759_5,Q1759_6,Q1760,Q1761,Q1762,Q1763,Q1787,Q1788,Q1789_1,Q1789_2,Q1789_3,Q1789_4,Q1789_5,Q1789_6,Q1790,Q1791,Q1792,Q1793,Q1817,Q1818,Q1819_1,Q1819_2,Q1819_3,Q1819_4,Q1819_5,Q1819_6,Q1820,Q1821,Q1822,Q1823,Q1861,Q1862,Q867,Q1734,Q1735,Q1736_1,Q1736_2,Q1736_3,Q1736_4,Q1736_5,Q1736_6,Q1737,Q1738,Q1739,Q1740,Q1767,Q1768,Q1769_1,Q1769_2,Q1769_3,Q1769_4,Q1769_5,Q1769_6,Q1770,Q1771,Q1772,Q1773,Q1797,Q1798,Q1799_1,Q1799_2,Q1799_3,Q1799_4,Q1799_5,Q1799_6,Q1800,Q1801,Q1802,Q1803,Q1827,Q1828,Q1829_1,Q1829_2,Q1829_3,Q1829_4,Q1829_5,Q1829_6,Q1830,Q1831,Q1832,Q1833,Q1744,Q1745,Q1746_1,Q1746_2,Q1746_3,Q1746_4,Q1746_5,Q1746_6,Q1747,Q1748,Q1749,Q1750,Q1777,Q1778,Q1779_1,Q1779_2,Q1779_3,Q1779_4,Q1779_5,Q1779_6,Q1780,Q1781,Q1782,Q1783,Q1807,Q1808,Q1809_1,Q1809_2,Q1809_3,Q1809_4,Q1809_5,Q1809_6,Q1810,Q1811,Q1812,Q1813,Q1837,Q1838,Q1839_1,Q1839_2,Q1839_3,Q1839_4,Q1839_5,Q1839_6,Q1840,Q1841,Q1842,Q1843,Q1684,Q1685,Q1686_1,Q1686_2,Q1686_3,Q1686_4,Q1686_5,Q1686_6,Q1687,Q1688,Q1689,Q1690,Q1694,Q1695,Q1696_1,Q1696_2,Q1696_3,Q1696_4,Q1696_5,Q1696_6,Q1697,Q1698,Q1699,Q1700,Q1704,Q1705,Q1706_1,Q1706_2,Q1706_3,Q1706_4,Q1706_5,Q1706_6,Q1707,Q1708,Q1709,Q1710,Q1714,Q1715,Q1716_1,Q1716_2,Q1716_3,Q1716_4,Q1716_5,Q1716_6,Q1717,Q1718,Q1719,Q1720,Q98,Q1644,Q1645,Q1646_1,Q1646_2,Q1646_3,Q1646_4,Q1646_5,Q1646_6,Q1647,Q1648,Q1649,Q1650,Q1654,Q1655,Q1656_1,Q1656_2,Q1656_3,Q1656_4,Q1656_5,Q1656_6,Q1657,Q1658,Q1659,Q1660,Q1664,Q1665,Q1666_1,Q1666_2,Q1666_3,Q1666_4,Q1666_5,Q1666_6,Q1667,Q1668,Q1669,Q1670,Q1674,Q1675,Q1676_1,Q1676_2,Q1676_3,Q1676_4,Q1676_5,Q1676_6,Q1677,Q1678,Q1679,Q1680,Q69,Q67,Q64,Q69 2,Q73,type,task,Enter Embedded Data Field Name Here...
8/2/17 12:14,8/2/17 12:17,0,74.140.72.222,100,132,1,8/2/17 12:17,R_es0PXQd9RurWtVL,,,,,39.30310059,-82.08280182,anonymous,EN,A2TS7TRT4SARLS,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,3,"I think a person, not a computer, should make this decision",2,2,2,2,4,6,I would feel primarily frustrated,4,"He wouldn't have all the resumes, just the top 3",1,,,,,,,,,,,,,3,The algorithm chooses the top 3 and then the manager chooses from there,A computer sequence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,1,6,1,2,3,
8/2/17 12:14,8/2/17 12:17,0,198.239.77.117,100,136,1,8/2/17 12:17,R_tMnDQ1YCcxicgqB,,,,,46.98669434,-122.740799,anonymous,EN,A3ODVV1SM7DCXN,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5,They were the TOP applicants.,3,3,2,5,4,5,Chris was disappointed,5,"He is the manager, he should know what is best.",1,,,,,,,,,,,,,2,24,2,5,1,5,3,
8/2/17 12:14,8/2/17 12:17,0,68.174.18.212,100,140,1,8/2/17 12:17,R_29llCaezlcUf8AN,,,,,40.56599426,-74.12580109,anonymous,EN,A39TYY3ENJSTK1,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,the manager applies the algorithm and the algorithm supplies with the right answer ,computer programs ,,,,,,,,,,,,,,,,,,,,,,,,,5,because it makes things more precise and saves time ,5,6,6,2,3,2,why would he be mad about it. if he's the right fit it will show,5,because its a computer program so I trust it ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,24,1,5,1,3,3,
8/2/17 12:14,8/2/17 12:17,0,99.68.183.120,100,169,1,8/2/17 12:17,R_27J47KW252mwgPQ,,,,,26.34840393,-80.21869659,anonymous,EN,A2J8DTVZ7YT96U,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,the managers job is to evaluate his employees,4,4,6,2,2,2,normal response to an evaluation,5,employers do this all the time,1,1,19,1,3,1,5,4,
8/2/17 12:15,8/2/17 12:18,0,99.2.70.88,100,182,1,8/2/17 12:18,R_3JmWnhZz1pLgtBE,,,,,30.28660583,-81.51499939,anonymous,EN,A2TV7LRPXDTRWO,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,He needs to be able to analyze the calls so they know what he is doing well and what he is not.,2,2,2,4,6,6,"Just because it's policy, doesn't mean he will enjoy it.",5,I don't know him personally but since he is the manager I have a certain sense of trust in him,1,1,22,1,5,1,5,4,
8/2/17 12:15,8/2/17 12:18,0,45.56.159.252,100,193,1,8/2/17 12:18,R_1OfcnWbd6BzXlKx,,,,,35.6427002,139.7677002,anonymous,EN,A20BZDQZRJ4WR7,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A set of rules or steps done by a computer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,I don't know what criteria the algorithm uses so I can't judge whether it's fair or not. ,4,4,4,6,6,5,He might feel that the algorithm is biased.  ,2,Maybe the computer can't make good judgments. ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31,2,5,1,1,4,
8/2/17 12:14,8/2/17 12:18,0,173.16.9.128,100,220,1,8/2/17 12:18,R_1lrxUINl4CRDT4M,,,,,39.74009705,-90.23880005,anonymous,EN,A28AYWPR9V6DZ,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Algorithm makes the schedule, and the manager approves it.",They are computations made based off of previous results. ,,,,,,,,,,,,,6,The algorithm does not have any bias towards any employee; it simply looks at numbers and determines the schedule.,3,3,3,5,5,6,Even though the process is fair; it does not give Chris much agency in his schedule.,5,"Barring any unforseen circumstances, the process will decided what is needed an when.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,31,2,5,1,3,2,
8/2/17 12:15,8/2/17 12:18,0,74.93.152.137,100,189,1,8/2/17 12:18,R_2AGZFRTYJeHfIrY,,,,,32.4835968,-93.93139648,anonymous,EN,AUG9SHX7VWH7Z,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Processing information,Bits of computer code. ,,,,,,,,,,,,,5,Gut feeling ,6,2,5,5,4,4,Gut feeling,4,My gut opinion,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,36,2,3,1,3,2,
8/2/17 12:15,8/2/17 12:18,0,216.118.223.9,100,170,1,8/2/17 12:18,R_3PYx7KrCciTMotN,,,,,42.7875061,-86.10890198,anonymous,EN,A2MDYAZ6FHY04J,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,It is part of the manager's job to evaluate his employees. It is a condition of the job.,4,4,4,4,4,4,I think Chris should expect frequent evaluations. They should be routine. ,7,A manager should have the right ethical descretion to make good evaluations. ,1,1,33,1,5,1,5,4,
8/2/17 12:15,8/2/17 12:18,0,68.48.207.68,100,205,1,8/2/17 12:18,R_28MUYOt4OJ034ff,,,,,43.24859619,-86.13829803,anonymous,EN,A2IU5TX5S0FA1C,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,6,"That's what managers do, and Chris should be aware of that when he took the job.",6,6,6,2,2,2,"He should feel good that the manager wants him there during, what is most likely, the busiest time.",6,"It's his job, it's what he's used to. Why wouldn't I trust his decisions?",1,,,,,,,,,,,,,,,,,,,,,,,,,1,64,1,3,1,5,2,
