StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q112,Q72,Q92_1,Q96_1,Q1644,Q1645,Q1646_1,Q1646_2,Q1646_3,Q1646_4,Q1646_5,Q1646_6,Q1647,Q1648,Q1649,Q1650,Q1654,Q1655,Q1656_1,Q1656_2,Q1656_3,Q1656_4,Q1656_5,Q1656_6,Q1657,Q1658,Q1659,Q1660,Q1664,Q1665,Q1666_1,Q1666_2,Q1666_3,Q1666_4,Q1666_5,Q1666_6,Q1667,Q1668,Q1669,Q1670,Q1674,Q1675,Q1676_1,Q1676_2,Q1676_3,Q1676_4,Q1676_5,Q1676_6,Q1677,Q1678,Q1679,Q1680,Q98,Q1684,Q1685,Q1686_1,Q1686_2,Q1686_3,Q1686_4,Q1686_5,Q1686_6,Q1687,Q1688,Q1689,Q1690,Q1694,Q1695,Q1696_1,Q1696_2,Q1696_3,Q1696_4,Q1696_5,Q1696_6,Q1697,Q1698,Q1699,Q1700,Q1704,Q1705,Q1706_1,Q1706_2,Q1706_3,Q1706_4,Q1706_5,Q1706_6,Q1707,Q1708,Q1709,Q1710,Q1714,Q1715,Q1716_1,Q1716_2,Q1716_3,Q1716_4,Q1716_5,Q1716_6,Q1717,Q1718,Q1719,Q1720,Q867,Q1724,Q1725,Q1726_1,Q1726_2,Q1726_3,Q1726_4,Q1726_5,Q1726_6,Q1727,Q1728,Q1729,Q1730,Q1757,Q1758,Q1759_1,Q1759_2,Q1759_3,Q1759_4,Q1759_5,Q1759_6,Q1760,Q1761,Q1762,Q1763,Q1817,Q1818,Q1819_1,Q1819_2,Q1819_3,Q1819_4,Q1819_5,Q1819_6,Q1820,Q1821,Q1822,Q1823,Q978,Q979,Q1734,Q1735,Q1736_1,Q1736_2,Q1736_3,Q1736_4,Q1736_5,Q1736_6,Q1737,Q1738,Q1739,Q1740,Q1767,Q1768,Q1769_1,Q1769_2,Q1769_3,Q1769_4,Q1769_5,Q1769_6,Q1770,Q1771,Q1772,Q1773,Q1797,Q1798,Q1799_1,Q1799_2,Q1799_3,Q1799_4,Q1799_5,Q1799_6,Q1800,Q1801,Q1802,Q1803,Q1827,Q1828,Q1829_1,Q1829_2,Q1829_3,Q1829_4,Q1829_5,Q1829_6,Q1830,Q1831,Q1832,Q1833,Q1744,Q1745,Q1746_1,Q1746_2,Q1746_3,Q1746_4,Q1746_5,Q1746_6,Q1747,Q1748,Q1749,Q1750,Q1777,Q1778,Q1779_1,Q1779_2,Q1779_3,Q1779_4,Q1779_5,Q1779_6,Q1780,Q1781,Q1782,Q1783,Q1807,Q1808,Q1809_1,Q1809_2,Q1809_3,Q1809_4,Q1809_5,Q1809_6,Q1810,Q1811,Q1812,Q1813,Q1837,Q1838,Q1839_1,Q1839_2,Q1839_3,Q1839_4,Q1839_5,Q1839_6,Q1840,Q1841,Q1842,Q1843,Q69,Q67,Q64,Q69 2,Q73,type,task
7/7/17 9:36,7/7/17 9:43,0,173.144.86.218,100,443,1,7/7/17 9:43,R_2w0kjqPBR60IBVZ,,,,,37.31199646,-77.63439941,anonymous,EN,AWXIEV9H6KT9E,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a way to analye big time data and be able to make and better guess or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,it's fair because it's what it is supposed to do and whom to evauluate,4,4,4,3,3,3,easier to understand for him,4,can't trust it too much being that is is computer based and things are random,1,2,24,1,4,2,4,4
7/7/17 9:44,7/7/17 9:46,0,66.30.120.142,100,125,1,7/7/17 9:46,R_3MaGSHzKmwmFB8q,,,,,42.0796051,-71.03820038,anonymous,EN,A3GLMBZSG3VU4P,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,programs/codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,If analyses are done for every employee it seems fair enough.,4,4,4,4,4,4,Not enough information.,4,Depends how good the algorithm is. It is unbiased but the programming needs to be good,1,1,24,1,5,4,4,4
7/7/17 9:35,7/7/17 9:41,0,216.142.211.25,100,348,1,7/7/17 9:41,R_2f7AAvHqEW4bynO,,,,,44.74569702,-91.51319885,anonymous,EN,A2ZPH76PDI9XIQ,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A set of rules in a program that look for certain things to decide an outcome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"I don't feel that performance can be 'graded' based totally on a computer. Other things should be factored like knowledge, understanding, and follow through.",3,3,3,5,5,5,What if a customer just has a voice that seems like it sounds bad but they are happy with their experience?,2,There are too many variables that could come into play that aren't factored into the algorithm.,1,3,32,2,2,1,4,4
7/7/17 9:36,7/7/17 9:45,0,105.164.214.174,100,513,1,7/7/17 9:45,R_1eLSgkfXWB8ooog,,,,,1,38,anonymous,EN,A2YKW761AK4ZGY,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,algorithms are computer programs which are input information so they can make certain decisions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"The algorithm uses certain set rules to select certain candidates, as long as the same rules are applied to everyone it is fair.",4,4,4,4,4,4,I do not think Chris would feel any of the above unless he was selected for an interview.,6,I trust the algorithm to make good decisions based on what the applicant has on their resume.,1,,,,,,,,,,,,,1,32,2,5,2,4,3
7/7/17 10:10,7/7/17 10:13,0,47.17.179.157,100,221,1,7/7/17 10:13,R_3mmjQUiMK2ocpLW,,,,,41.03919983,-73.86820221,anonymous,EN,AZIY6IFOS4CVC,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Programs that analyze data to make decisions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,It should be a person making the decisions and there could be mistakes.,2,2,2,6,6,6,Chris would feel better if a person made the decisions over a program.,1,The algorithm could make mistakes.,2,,,,,,,,,,,,,2,29,2,5,1,4,3
7/7/17 9:36,7/7/17 9:41,0,24.102.157.57,100,279,1,7/7/17 9:41,R_2uxGxelWaR4FZLh,,,,,41.15020752,-74.5714035,anonymous,EN,A2GG7HIO2OIXUR,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They're machines or systems made to sort through data and make decisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"It seems to be fair.  The algorithm provides a logical, mechanical view while the manager provides a human view so it is covered by both logic and emotion and human intuition, so it seems very fair.",5,5,5,3,3,3,"If Chris feels that he is the best for the job, he should be happy that the system and manager will probably pick him.",5,It covers a human and machine aspect so I think those combined will provide very good results.,1,,,,,,,,,,,,,1,28,1,3,1,4,3
7/7/17 9:39,7/7/17 9:45,0,47.157.217.159,100,326,1,7/7/17 9:45,R_25vyA3eLvBWtgT2,,,,,34.08999634,-117.8903046,anonymous,EN,A177EXELDLWTWV,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,the computer makes the best choices,4,4,4,3,4,3,he probably just accepts it,6,it makes the best decisions based on the data,1,,,,,,,,,,,,,,,,,,,,,,,,,1,24,2,3,3,4,2
7/7/17 10:06,7/7/17 10:13,0,67.80.231.102,100,451,1,7/7/17 10:13,R_2xVMR1EKozpGATX,,,,,40.62249756,-73.96620178,anonymous,EN,AK8ONB60Q4RJ5,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Programs design to create more efficent situations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"People will most likely have other committments to attend to in their day. But if business needs the employee at a certain time, then make it happen.",5,5,3,4,3,4,"I don't know Chris, so his reaction might go either way.",5,"The program can recongize when customers at shopping at the store, and adjust the workforce to the customers needs.",1,,,,,,,,,,,,,,,,,,,,,,,,,2,35,2,2,2,4,2
7/7/17 9:36,7/7/17 9:41,0,70.190.102.233,100,260,1,7/7/17 9:41,R_8k2HaECG2YRDZ17,,,,,33.28520203,-112.0375977,anonymous,EN,A2YDA5EGPSTMCC,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A set of instructions that a computer follows.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"As long as Chris isn't deliberately attempting favoritism, this process is valid and justified.",5,6,2,2,3,3,Chris most likely attempts to act as fairly as possible.,4,Chris seems like a reasonable person.,1,,,,,,,,,,,,,,,,,,,,,,,,,2,21,2,3,2,4,2
7/7/17 9:40,7/7/17 9:48,0,76.121.46.97,100,512,1,7/7/17 9:48,R_3imalXXuizReiA5,,,,,48.73950195,-122.480896,anonymous,EN,A2XM2MNPSM2PIY,"1,2",3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Computers that use past data to make choises about what to do.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,I think since it is assigned to him fairly so unless he ends up always getting chosen then it is fair.,3,2,4,5,2,4,I think that for the most part he feels indifferent to the fact that he is chosen and just does the job he is told to do.,3,I think that it makes the decision based on past problems but it isn't going to always know what will happen next.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,2,3,1,4,1
