fairness ID,20 types fairness,fairness,fairness code,trust ID,20 types trust,trust,trust code,emotion ID,20 types emotion,emotion,emotion code
R_cvETcW8WQuEJPtD,"5,4",4,14a,R_cvETcW8WQuEJPtD,"5,4",2,10,R_cvETcW8WQuEJPtD,"5,4",4.0,18
R_3ncvR9gtETOC7km,"5,4",2,10,R_3ncvR9gtETOC7km,"5,4",2,10,R_3ncvR9gtETOC7km,"5,4",3.166666667,16a
R_2EzoHSWdMKr3YKK,"5,4",5,5,R_2EzoHSWdMKr3YKK,"5,4",2,5,R_3ncvR9gtETOC7km,"5,4",3.166666667,needs more info
R_3Ofc81FriNv8rgg,"5,4",5,13,R_3Ofc81FriNv8rgg,"5,4",3,9a,R_2EzoHSWdMKr3YKK,"5,4",3.0,52
R_1pDWlPLcgf3uZUg,"5,4",7,4,R_1pDWlPLcgf3uZUg,"5,4",3,4,R_3Ofc81FriNv8rgg,"5,4",3.166666667,13
R_1PTbvVEISyzWKSB,"5,4",6,4,R_1PTbvVEISyzWKSB,"5,4",3,4,R_1pDWlPLcgf3uZUg,"5,4",3.5,100a
R_3j1XMC6KWzKwLMt,"5,4",5,5,R_3j1XMC6KWzKwLMt,"5,4",3,needs more info,R_1PTbvVEISyzWKSB,"5,4",3.666666667,100a
R_C3LTNYfZrXD20RX,"5,4",6,4,R_C3LTNYfZrXD20RX,"5,4",4,10,R_3j1XMC6KWzKwLMt,"5,4",4.0,needs more info
R_s4OIATGfOwyrYBz,"5,4",6,13,R_s4OIATGfOwyrYBz,"5,4",4,needs more info,R_C3LTNYfZrXD20RX,"5,4",1.6666666669999999,100c
R_2t5av5oGbugkr1s,"5,4",6,13,R_2t5av5oGbugkr1s,"5,4",4,100a,R_s4OIATGfOwyrYBz,"5,4",2.833333333,16b
R_p0G8f26mNf83uxj,"5,4",6,4,R_p0G8f26mNf83uxj,"5,4",4,100c,R_2t5av5oGbugkr1s,"5,4",3.333333333,13
R_3oTK9n3D4cC429r,"5,4",7,4,R_3oTK9n3D4cC429r,"5,4",4,10,R_p0G8f26mNf83uxj,"5,4",3.833333333,100a
R_2X1b9cyXVIbEf3B,"5,4",7,5,R_2X1b9cyXVIbEf3B,"5,4",4,100c,R_3oTK9n3D4cC429r,"5,4",4.0,16a
R_2TuCljOJOo7Pm7a,"5,4",6,13,R_2TuCljOJOo7Pm7a,"5,4",4,4,R_2X1b9cyXVIbEf3B,"5,4",4.0,16a
R_1nVEA9VcVGLsm2F,"5,4",7,4,R_1nVEA9VcVGLsm2F,"5,4",4,needs more info,R_2TuCljOJOo7Pm7a,"5,4",4.5,16b
R_2bZyMVE4AdIc17Q,"5,4",6,4,R_2bZyMVE4AdIc17Q,"5,4",4,18,R_1nVEA9VcVGLsm2F,"5,4",5.5,13
R_sGtHa5GvhCqvH8d,"5,4",7,4,R_sGtHa5GvhCqvH8d,"5,4",4,100a,R_2bZyMVE4AdIc17Q,"5,4",4.0,16a
R_sAxkpA5eSsZF8M9,"5,4",6,4,R_sAxkpA5eSsZF8M9,"5,4",4,needs more info,R_sGtHa5GvhCqvH8d,"5,4",3.666666667,needs more info
R_24N1NLSq1gw470s,"5,4",6,4,R_24N1NLSq1gw470s,"5,4",5,4,R_sAxkpA5eSsZF8M9,"5,4",5.5,needs more info
R_2EsjAxrXDwtMs2K,"5,4",6,4,R_2EsjAxrXDwtMs2K,"5,4",5,10,R_24N1NLSq1gw470s,"5,4",4.0,16a
R_26lh6Ugqm8xgmvz,"5,4",6,4,R_26lh6Ugqm8xgmvz,"5,4",5,10,R_2EsjAxrXDwtMs2K,"5,4",4.0,13
R_32XVlsjEWLzG3Qi,"5,4",7,4,R_32XVlsjEWLzG3Qi,"5,4",5,51,R_26lh6Ugqm8xgmvz,"5,4",4.0,16a
R_ByXKWNl2kfJMZsB,"5,4",6,13,R_ByXKWNl2kfJMZsB,"5,4",5,4,R_32XVlsjEWLzG3Qi,"5,4",4.333333333,13a
R_3MzGXRbj2vvcUVr,"5,4",6,13,R_3MzGXRbj2vvcUVr,"5,4",5,51,R_ByXKWNl2kfJMZsB,"5,4",4.666666667,18
R_Od3Ti73e3FWigql,"5,4",6,13,R_Od3Ti73e3FWigql,"5,4",5,needs more info,R_3MzGXRbj2vvcUVr,"5,4",5.666666667,13
R_2zHpKDtYJg4RC1t,"5,4",4,100a,R_2zHpKDtYJg4RC1t,"5,4",5,10,R_Od3Ti73e3FWigql,"5,4",5.666666667,13a
R_1Q9MlVtPjr14XjH,"5,4",5,100a,R_1Q9MlVtPjr14XjH,"5,4",5,100a,R_2zHpKDtYJg4RC1t,"5,4",6.0,16a
R_2xGgs5UkCcOeeRS,"5,4",6,4,R_2xGgs5UkCcOeeRS,"5,4",5,needs more info,R_1Q9MlVtPjr14XjH,"5,4",4.0,100a
R_2fyaVfLUhZWotQe,"5,4",7,4,R_2fyaVfLUhZWotQe,"5,4",5,51,R_2xGgs5UkCcOeeRS,"5,4",4.0,100a
R_2fyaVfLUhZWotQe,"5,4",7,13,R_3NKzAIgTH3EeQNk,"5,4",5,4,R_2fyaVfLUhZWotQe,"5,4",4.0,100a
R_3NKzAIgTH3EeQNk,"5,4",6,4,R_27J47KW252mwgPQ,"5,4",5,4,R_3NKzAIgTH3EeQNk,"5,4",4.166666667,100a
R_27J47KW252mwgPQ,"5,4",6,4,R_2v8keXDUoQnqqUm,"5,4",5,10,R_27J47KW252mwgPQ,"5,4",5.333333333,100a
R_2v8keXDUoQnqqUm,"5,4",6,4,R_1QKHky9So2cKCxJ,"5,4",5,needs more info,R_2v8keXDUoQnqqUm,"5,4",4.5,13
R_1QKHky9So2cKCxJ,"5,4",6,4,R_1BWSarrM37vnkgE,"5,4",5,needs more info,R_1QKHky9So2cKCxJ,"5,4",5.0,13
R_1QKHky9So2cKCxJ,"5,4",6,13,R_7W2aqYmykT5YkuJ,"5,4",5,4,R_1BWSarrM37vnkgE,"5,4",5.0,16b
R_1BWSarrM37vnkgE,"5,4",7,4,R_3DutcjD1rURiEG7,"5,4",5,51,R_7W2aqYmykT5YkuJ,"5,4",4.166666667,51
R_7W2aqYmykT5YkuJ,"5,4",6,4,R_xEq9mF0odazo4fL,"5,4",5,4,R_3DutcjD1rURiEG7,"5,4",5.333333333,51
R_3DutcjD1rURiEG7,"5,4",6,4,R_21vqsl8WjbbLZeB,"5,4",5,4,R_xEq9mF0odazo4fL,"5,4",6.333333333,51
R_xEq9mF0odazo4fL,"5,4",7,4,R_3JmWnhZz1pLgtBE,"5,4",5,4,R_21vqsl8WjbbLZeB,"5,4",5.5,51
R_21vqsl8WjbbLZeB,"5,4",6,4,R_RqxpMQYJI3ugvXb,"5,4",5,4,R_21vqsl8WjbbLZeB,"5,4",5.5,13
R_21vqsl8WjbbLZeB,"5,4",6,13,R_2eQY0VZy1sjhMOI,"5,4",6,51,R_3JmWnhZz1pLgtBE,"5,4",2.333333333,52
