fairness ID,20 types fairness,fairness,fairness code,fairness OR,trust ID,20 types trust,trust,trust code,trust OR,emotion ID,20 types emotion,emotion,emotion code,emotion OR
R_etUBwaoLC2aP9yF,"2,3",5,nan,Well I personally think that in most cases the algorithmic analysis might be accurate but in some cases it might not be. This could be an advantage for some but a disadvantage to others.,R_etUBwaoLC2aP9yF,"2,3",3,9,If the algorithmic analysis isnt calibrated right the selection may not actually be of the best candidates.,R_etUBwaoLC2aP9yF,"2,3",3.833333333,16,Well the statement above never tells me if chris has been choosen. For me to accurately anticipate his feelings I would need to know that information. So the answers to the above statements were a guess to the unknown.
R_2dzlhEaTnuuXSfj,"3,4",3,1,a computer can't be capable of feelings,R_2dzlhEaTnuuXSfj,"3,4",2,52," i would rather be judged by a human, not a computer",R_2dzlhEaTnuuXSfj,"3,4",3,8,again the computer is not capable of feelings or emotions
R_2DRYIZUGLLg4GO5,"2,2",6,1,A well made algorithm should be fair and unemotional.,R_2DRYIZUGLLg4GO5,"2,2",2,1,Usually managers have no choice when it comes to following certain protocols.,R_2DRYIZUGLLg4GO5,"2,2",4.333333333,8,It is a bit impersonal.
R_Q4Zodysq1dnIYI9,"3,2",5,1,"Since the algorithm considers employee availability and the number of customers only, it does not discriminate but also does not help those with special circumstances.",R_Q4Zodysq1dnIYI9,"3,2",2,9,"The algorithm looks at employees' availabilities and the number of customers throughout the day, but it is not known exactly how the algorithm makes these decisions, and whether such decisions are fair.",R_Q4Zodysq1dnIYI9,"3,2",3.833333333,16,"Chris might be happy that he has the ability to handle the morning demand, but he may be disappointed that he has to work in such a high pressure environment every day."
R_1NCTx5hlsXbZhFR,"2,4",4,1,It's up to the discretion of the manager and those in charge to use means that they feel is right. Though it might have less of a bias compared to not using one though.,R_1NCTx5hlsXbZhFR,"2,4",3,1,"More trust would mean that the manager probably wouldn't use the algorithmic analysis or if he did use it, he wouldn't rely on it as much.",R_1NCTx5hlsXbZhFR,"2,4",3,8,"I would feel the exact same way, annoyed and a little upset over having something without human judgement, judging, me and my work. It probably doesn't account for some things that a person could pick up on or notice."
R_3JyZGYQZ7PyC5Ku,"2,3",6,1,It is fair because it shows that the manager is not being particularly biased towards Chris.,R_3JyZGYQZ7PyC5Ku,"2,3",3,1,There is only little trust to give because the manager is using a computer to make the important decision.,R_3JyZGYQZ7PyC5Ku,"2,3",3.333333333,8,Chris might feel frustrated about the fact that the manager is relying on a computer.
R_11crURigrY3oWmx,"3,3",6,1,It is not selected on any personal bias but is automated.,R_11crURigrY3oWmx,"3,3",3,1,"If it is being used already then it must be somewhat effective, but the automation loses the complete human touch when selecting candidates.",R_3JyZGYQZ7PyC5Ku,"2,3",3.333333333,9,Chris might feel frustrated about the fact that the manager is relying on a computer.
R_2w513K5YLj4fcPh,"1,4",5,1,An algorithm is unbiased but may not be able to notice subtle details,R_2w513K5YLj4fcPh,"1,4",4,1,Alogrithms can make unbiased judgements but lack the ability to adjust to various situations.,R_11crURigrY3oWmx,"3,3",3,9,"He may be expected an actual person to select his resume, but now he has to figure out how to get past the algorithm!"
R_s5AhFklTQQnEYhj,"2,4",6,1,If the algorithm assumed to be competent it wouldn't have any unfair biases that people would have and make judgements more fairly than most people.,R_2w513K5YLj4fcPh,"1,4",4,9,Alogrithms can make unbiased judgements but lack the ability to adjust to various situations.,R_2w513K5YLj4fcPh,"1,4",4,1,Chris may want a more personal evaluation but may like that the alogrithm is unbiased.
R_23eJc1LtNFzTp78,"1,4",5,1,"It gives an objective way to analyze the workers. While there are many factors involved, an algorithm gives workers a formula to know how to be successful at their job.",R_s5AhFklTQQnEYhj,"2,4",4,6,It depends on who made the algorithm and how much input the manager has. I think I could afford some trust.,R_s5AhFklTQQnEYhj,"2,4",4.833333333,1,Putting myself in those shoes I would be happy to have non biased judgment of my performance.
R_2P0CGG6jrPpXrVH,"1,3",4,1,"Assuming it was programmed properly, the algorithm will be completely unbiased about the candidates. This should lead to fairer selections for the interviews.",R_23eJc1LtNFzTp78,"1,4",4,1,"An algorithm won't be 100% perfect, but it gives a single and unbiased way of evaluation.",R_23eJc1LtNFzTp78,"1,4",3.166666667,100a,"I don't think Chris would be particularly positive or negative towards this evaluation method. Because it is a set algorithm, Chris should have a blueprint on how to get a better evaluation."
R_12o4WPgciSIsWDY,"1,3",6,1,It is an objective process,R_2P0CGG6jrPpXrVH,"1,3",4,10,"The algorithm is only as good as it's designer, and that designer is a human. I can't have full trust in it without more information.",R_2P0CGG6jrPpXrVH,"1,3",4,100a,"Chris hasn't gotten his results yet, I so I don't think he'd be feeling anything yet."
