emotion,ID,task,decision maker,mc,mc error,reading check error,fairness,fairness_OR,happy,joyful,proud,disappointed,angry,frustrated,emotion_OR,trust,trust_OR,programming exp,age,gender,education,ethnicity,algorithm definition
,R_1IyOEG677dwwNuz,4,1,1,0.0,0.0,5,It provides a standard by which the company can measure productivity and efficiency.,4,2,3,5,5,5,I feel like he would be wary of the algorithm no matter what.,3,"Algorithms are helpful, but shouldn't be the end-all be-all of evaluation.",1,27,2,6,1,Computer-based formulas that determine outcomes
,R_2zcooRS33lD5E3K,4,5,5,0.0,0.0,2,"There's no accountability for Chris, and his assessment is probably slanted.",1,1,1,6,5,6,It's disappointing but doesn't make me irate. ,3,There's going to be personal bias. ,1,35,2,5,1,0
,R_2zeTV73jrvj7lJV,2,3,4,1.0,0.0,2,Algorithms are just so impersonal.,4,3,3,3,4,3,If i were him i'd want to make my schedle witha human being,2,It's not a human with a mind.,1,27,1,5,1,Math equations done by a computer
,R_3lRlIHJfHzoCwFc,4,2,3,1.0,1.0,6,Very fair,6,1,7,2,2,1,Little bit creative,6,Some more response,4,30,2,5,1,Algorithms are very important
,R_3hgN3RZWu7Ejlbs,2,5,5,0.0,0.0,6,what else are managers for,3,3,3,3,3,3,no,3,no,1,27,1,3,1,0
,R_3mfRgvDiQykNVmb,3,4,4,0.0,0.0,3,because the algorithm cant pick up on the way humans actually act ,2,2,3,5,3,6,I think he would feel a little frustrated because it could come down to just randomness ,5,It is based on what the company needs so it is bound to make an alright decision ,2,20,2,3,1,algorithms are like programs that are designed to pick out certain things 
,R_3kuHJtONoPEElnX,2,3,2,1.0,0.0,6,Seems like it knows what its doing. Thats how they work,3,3,3,1,1,1,I mean no one loves work but hey it's his job so he has to take it in stride,5,Well algorithm are made to be smart so,1,28,2,2,1,They are special computer programs to make things easier so humans don't have to do it. 
,R_C9baLaKEIogVo2Z,3,5,5,0.0,0.0,7,The manager is taking the time out to personally review each resume and statement to find the best fit.  He should narrow them down before doing interviews.,4,4,4,4,4,4,I don't know if Chris was selected for an interview so I don't know how he would feel.,6,The manager wants to find the best fit for his company.  I would trust the manager to do everything he can to make the right decision.,1,35,1,2,1,0
,R_brckhko6yEoGU7f,2,2,2,0.0,0.0,6,Seems like a legit way to schedule ,6,4,4,2,2,2,Why would Chris be upset about this ? ,5,Some things those algorithms can not predict ,1,34,1,4,1,programs that give predictions based on previous data 
,R_3Gkbpy3lfc5D9NH,1,1,1,0.0,0.0,7,Since a machine makes the decision there's no bias involved,4,4,4,1,1,1,"I think he'd feel neitral, there's no reason to really have emotion about it",6,I have no reason not to trust it,1,36,1,6,1,Math processes that make decisions using inputs
,R_11j6lpW2bSyUbSz,4,2,2,0.0,1.0,6,The guidelines are clear for how he will be evaluated,4,4,5,1,4,5,he could either feel proud that he was evaluted well or frustrated,5,At the same time i imagine the manager can recognize that the situation requires discretion ,2,21,2,3,3,An algorithm is a set of steps and computations
,R_2zSBqPlNZsHOdVD,4,5,5,0.0,0.0,6,Chris has to be monitored so that he knows that the company knows that he's doing a good job.,4,4,4,4,4,4,I don't know Chris and how good he is with customer service.,4,They have shown at least minimal competence to have that job.,2,33,1,5,1,0
,R_s5bcuQat52osaVX,2,3,3,0.0,0.0,6,"It's what is probably most efficient, why wouldn't it be fair?",4,4,4,2,2,2,I don't see how he would have strong feelings one way or the other,6,I have no reason to trust it less otherwise,4,22,1,3,1,a process designed to be followed as a rule
,R_3PgJ7imwUSEdqKg,1,3,3,0.0,0.0,7,I mean it's just fair. He just got unlucky but it is what it is.,2,2,2,6,2,6,He'd probably be a little angry but it is what it is.,7,It's an algorithm it chooses what it chooses.,1,20,2,3,1,algorithms follow a set rule and goes with it
,R_e3uudFHAn6sQfwR,3,3,3,0.0,0.0,5,Manager has a right to pick applicants however he likes but it may eliminate otherwise good candidates,3,3,4,4,3,5,"Depends if he gets picked due to algorithm or not, cannot accurately guess feelings otherwise",4,Depends on what key phrases manager chose to look for,2,31,1,5,1,computer processes that are built to work a certain way and accomplish certain goals
,R_3oWI6he2JmkANu2,4,5,5,0.0,0.0,7,CHris should have a manager to make sure he is doing the right thing at work.,4,1,1,2,2,2,I don't think Chris would necessarily be happy but he has to accept he has a manager at work. ,5,"I think it partly depends on whether he likes Chris or not, but I hope he would be fair. ",1,55,1,5,1,0
,R_3s7yPzATvM2JkSk,3,5,5,0.0,0.0,7,he is looking for the best candidates so he should be picking the top ones,5,5,5,1,2,5,I am sure he would be worried that he would not be picked but proud if he was,7,this is his job and I am sure he is experienced,1,57,1,4,1,0
,R_2zqdkJQp4HgwQ3x,2,2,2,0.0,0.0,6,It seems like it would be fair because the computer is doing the same thing the manager would do.,6,4,4,2,2,2,"If the shcedule is based on employees availablility, I do not see a reason for Chris to be unhappy.",5,I do not know anything about the manager.,1,44,1,4,1,Computer programs that compute things based on facts given.
,R_3mHn6rSbuwCpApr,1,2,2,0.0,0.0,7,All three are doing their assigned job. ,1,1,1,1,1,1,He would just assume the manager is doing his job. I don't think there would be much emotion in that realization. ,6,I think he is probably well trained in his position and the computer algorithm has probably proved accurate as well. ,1,33,1,5,1,Computer codes that account for certain variables.
,R_RDHQZOT72i0tA3L,1,4,2,1.0,0.0,4,Chris is not being penalized or favored,4,3,2,4,5,5,I don't believe he would care much one way or the other,5,A combination of computer and human gives a good result,2,56,2,5,1,computer programs using data to make an analysis
,R_3RgwUOF24gwbAmC,1,4,3,1.0,0.0,7,It is a great way to come up with the data on what may need maintinence so it is very fair due to it is very acurate and chriss will be able to fix what needs to be fixed to keep it running,6,5,5,1,1,1,he likes his job and his manager along with the computer algorithm helps him in his job,7,it is acuarte data,1,62,2,5,1,computer generated logical assesments of metrics and historical data along with real time dynamic changes
,R_YXFS7TmHYHP2TWF,1,5,5,0.0,0.0,6,Someone has to be in charge and assign tasks,6,5,6,3,3,4,He'd be proud because of the position,5,I've had good experiences in the past with managers,2,31,2,8,1,0
,R_ULvL8G4kEUeY1Gx,3,2,2,0.0,0.0,6,"The algorithm displays the results in a readable manner, and the manager is likely looking out for the most qualified candidates. Therefore if Chris is qualified, the manager should choose him.",5,5,2,3,3,3,Chris shouldn't be angry as the selection process was fair and unbiased.,5,The manager is likely looking for the most qualified individuals.,1,22,2,3,1,Algorithms are computer generated selecting and monitoring processes.
,R_3RdMYQxHO2sd6J8,1,2,2,0.0,0.0,4,The manager's job is to assign workers to check on components that the algorithm deems necessary. Chris is simply doing his job and contributing to the factory by checking on the component.,6,4,6,4,2,2,Chris shouldn't really be upset about doing his job. I'm sure other workers also get similar assignments.,5,"The manager just probably makes a choice based on reliability, trust in the worker, and who's available for his assignment.",1,25,1,3,7,"Algorithms are calculations made within certain parameters that someone programs it to do, or sets it to."
,R_3KvhqpAFzD83tTA,2,2,2,0.0,0.0,7,It is only in consideration of need.,4,4,3,2,1,2,I don't think would feel as though he made the decision himself. ,5,I would assume the computer is good at figuring service needs.,1,47,2,2,1,They are math equations that find averages and use these to make predictions.
,R_3MgMKDIJrqaKo5u,1,5,5,0.0,0.0,7,It is the managers job to assign tasks so it's fair that he lets Chris know what to do,5,4,6,1,1,1,He is proud and satisfied with the job he has and what he has to do,6,You trust the manager to make the right decisions ,1,29,1,3,1,0
,R_2OYWLCOqXmN3suf,4,4,4,0.0,0.0,4,The manager and the algorithm do not use the same data. The human uses recordings.,3,3,4,5,2,4,Maybe Chris doesn't agree with the evaluation and can't do anything about it ,4,I trust the algorithm but not the human input from the manager. Some people lie to benefit themselves.,1,41,1,6,1,Computer formulas that make decisions using input from various sources 
,R_1Ia4G68yh88EsNm,2,1,1,0.0,0.0,6,According to the fact pattern the algorithm analyzes employees availability as well as customer visiting,6,4,4,4,2,4,The algorithm took consideration his availability as well as customer visiting. I assume he can always speak to the management if he wants a change,5,Assuming the algorithm had the correct input for employee availability and customer visiting I would rely on it subject to employees having reasons for a change,1,55,2,8,1,A type of mathematical result after feeding in certain data
,R_3Mcnc0DDElKpUTt,3,1,1,0.0,0.0,7,He is on equal footing with each of the applicants. ,5,5,4,2,2,2,He might be worries about being selected but knows he has as good of a chance as the others. ,6,The algorithm is made in a way to get the best prospects. ,1,31,2,5,1,Man made programs that perform tasks without human intervention. 
,R_29rWisKH7MZFxar,2,4,4,0.0,0.0,6,"The business has to balance employee needs with customer needs and business needs.  The algorithm accounts for the business and customer needs, while the manager input accounts for the employees needs.",5,5,5,3,3,3,"Chris' availability should have indicated that he could work mornings, so he should be okay with working mornings.",6,Algorithms are usually devised after a lot of trial and error.  While there will be potential mistakes they should be rare.,4,42,2,5,1,Algorithms are processes which take in information and return a result.  Usually these are performed by computers but can also be done by a person.
,R_10IOL4rs2vvXyke,4,4,4,0.0,0.0,6,It is fair as long as he knows how the algorithm reaches a decision. ,5,4,5,2,2,2,"If he does well then the algorithm will note this, and he will be happy.",6,The algorithm is based on logical and will use logic and make a logical decision every time and will be consistent.,3,40,2,4,1,They are processes to make decisions or to solve a problem. They operate on logical and whatever rules you want to set for them.
,R_23ZvaRIila7JfI0,4,4,4,0.0,0.0,5,It is always better to combine analyses but sometime can scew results.,5,5,5,3,3,3,Chriss probably feels somewhat happy about because he knows it will give him better results. ,4,I would put some trust into it but would be careful in case it gives false results. ,1,21,2,5,1,Algorithms are complex computations that can be used to measure something. 
,R_2uVcM8AzX0THxZF,1,1,1,0.0,0.0,7,The algorithm helps analyze everything with the components and helps Chris to be more efficient ,7,7,7,1,1,1,"He still gets to do his job, just a lot more efficient ",4,It is still a machine or tech that can mess up,1,36,2,3,1,A system that helps determine if something is right or wrong
,R_2SqPMhDByzevlm6,4,1,1,0.0,0.0,3,People can call up and already be upset without Chris even doing anything. ,2,2,2,6,5,6,"I think that he would be upset, because there are some calls where people are angry and nothing will calm them down and he gets docked for that.",2,I wouldn't trust the algorithm to be able to see the difference when Chris actually upsets someone versus when someone is upset because their service isn't working.,2,21,2,2,1,They are a formula that you use to do a certain job.
,R_2YsqhhfqXXpXwiG,2,4,2,1.0,0.0,6,It benefits both the customers and the employee,5,5,4,3,2,4,"Why would he be angry? If it schedules himto work when he is available and the shop is busy, what would there be to be angry about?",5,It can easily schedule the work shifts. ,1,34,1,5,1,functions that analyze given information. 
,R_21BPoa3Kqu106ZB,3,1,1,0.0,0.0,3,"There may be some qualities that are important, that the recruiters did not realize beforehand would be an ideal qualification for this position and is ultimately overlooked by the computer's algorithm. ",3,3,3,6,5,5,Chris may feel that his resume and personal statement were not properly considered.,3,There are some experiences and qualities that can not be codified into an algorithm. ,1,27,1,8,2,Algorithms are calculations based on information that a computer generates.
,R_1JJdDpTlKVB12vh,2,4,4,0.0,0.0,7,"If Chris's availability is the mornings, then it would be reasonable to schedule him them. ",6,6,6,1,1,1,Chris should be happy if his availability is in the mornings. ,6,"There might be times that a person can't make a certain day work, so the manager might need to run the schedule by the employee 1st. ",1,34,2,2,1,A computer program is giving specific data and it discerns from that what is the best course of action for what is needed.
,R_OIETgVEKGzCVDZT,2,1,1,0.0,0.0,7,I think it is fair because that's when he should work,7,7,7,1,1,1,I feel like Chris really has no choice when his shift is.,4,"I somewhat trust it because it might mess up and have a little amount of people working a busy time of the day, and a lot when it isn't.",1,27,2,2,4,It's a system that determines things for people. Like video recommendation's or how stuff is curated
,R_29lSYOuxCc0tLT4,4,1,1,0.0,0.0,1,There seems like a lot of room for error. ,1,1,4,4,5,7,I'm going off what I would personally feel. I don't think anyone would want to be based off their tone by a computer.,1,It just doesn't seem reliable.,1,28,1,4,1,It's a set of rules or guidelines that the computer based the performance off of.
,R_d6bSOTIFqzB9LsB,2,5,5,0.0,0.0,6,"It is fair because Chris applied for and obviously accepted the job therefore he takes teh schedule he is assigned. Someone has to work mornings, why not Chris. ",6,6,6,1,1,1,I think Chris would be happy to hav ethe job in teh first place and feel very proud that the manager trusts him enough to put him on what is usually the busiest shift for a coffee house.,6,He made it to the position of management so I have to assume with teh information given that he is competent at his job.,1,39,1,3,1,0
,R_1IZyY8TAHrmNF2V,1,4,4,0.0,0.0,4,"I don't see how fairness is even a factor, he will need to check all components at some point anyways or when they fail",2,2,2,2,2,2,"I don't think he would feel any certain way, he would just be doing his job",5,"The algorithm can analyze a vast amount of data and come to a conclusion, and the manager can act as a filter if it comes up with something that doesn't seem quite right and he can intervene",1,37,2,4,1,A computer tool to analyze data and predict outcomes or come to a conclusion with some probability attached
,R_2czKyER0VBnBFDf,4,5,5,0.0,0.0,7,It is the managers job to evaluate chris. It should be expected. ,4,2,4,2,2,2,Chris probably doesn't have very strong feelings about it since it is just part of his job. ,4,"I don't have enough details, but I would assume that he does a good job since he hasn't been fired yet. ",1,25,2,5,1,0
