emotion,ID,task,decision maker,HitL mc,MC Human OR,mc error,reading check error,fairness,fairness_OR,happy,joyful,proud,disappointed,angry,frustrated,emotion_OR,trust,trust_OR,programming exp,age,gender,education,ethnicity,algorithm definition
4.0,R_sO6jtxi0zjfnKZX,3,1,1,0,0.0,0.0,6,humans made it to be better than humans or else they woudn't use it.,2,2,2,2,2,2,he has no reason to have any opinion about this especially since he doesn't know the outcome yet,6,machines do it better than humans,1,55,2,2,1,programs used by machines to come to conclusions
4.166666666666667,R_2EuzL62j4KaCcF1,2,5,5,0,0.0,0.0,7,The manager is the boss and it is his decision who works when.,5,4,4,4,4,4,He shouldn't necessarily feel anything regarding the schedule. Maybe happy that he has a job. ,6,"Someone trusted him enough to put the manager in charge or it is the manager's own business, so he has to make tough decisions sometimes. ",2,42,2,3,1,0
4.0,R_2OUcvzAlmBgOIWe,2,4,3,the algorithm looks at the employees availablity and amount of customers at that normal time,0.0,0.0,5,he is being scheduled due to his availablity and estimated number of customers,4,4,4,4,4,4,"it doesn't say whether Chris prefers mornings or not- maybe he wants them or maybe he hates them. it seems his availablity says he doesnt have anything else scheduled, so why not?",5,"if the employee hasn't updated their availablity, thats not the algorithm's fault. also, it may or may not rotate employees on the better schedules. the manager may have to oversee that.",2,29,1,5,1,processes that a computer can complete to determine something or make an estimate
5.5,R_2tkS4Jk31RkE2KA,2,5,5,0,0.0,0.0,6,the manager is accommodating to the employee's and is only doing his job,5,5,5,2,2,2,"Everyone has to work a shift, maybe he could switch with someone at a later time.",6,He/she wouldn't be a manager if they could not be trusted,1,42,1,4,1,0
3.0,R_3g7QB4HD0FG9cak,4,1,1,0,0.0,0.0,3,I think that sometimes people can come across angry or impatient when in fact they really aren't. THeir tone isn't always linked to how they are actually feeling. ,3,3,3,5,5,5,I think Chris might feel frustrated that this is how he is being evaluated.,2,I don't think that an alogrithm can actually interpret how someone is doing at their job.,1,35,1,5,1,codes that generate a product or a service or a decision
4.0,R_21EAA84y7vTMhxk,1,5,5,0,0.0,0.0,4,Seems normal,6,2,4,4,4,4,just my opinion,2,I dont really trust anyone,1,36,1,5,1,0
5.0,R_1Ec92oxQRMOw3oj,3,5,5,0,0.0,0.0,6,It is fair for the top applicants to get an interview.,5,5,2,2,2,2,Chris would feel positive if he was selected for an interview.,6,This is an essential task for the manager and I would trust him to perform well.,1,58,1,7,1,0
3.3333333333333335,R_1Ka9URSJEyFVq40,1,1,1,0,0.0,0.0,6,That his job and is just like a manager telling him what to do,3,2,2,3,3,5,He would not be pleased to be run by a computer and his job is not really meaningful,5,It is the software's function to do this so I would have some trust in it,1,40,2,6,1,software functions that make predictions about something based on data
2.1666666666666665,R_2qqivC3w6Fvjenw,4,3,3,The algorithim judged and manager adjusted the algorithim.,0.0,0.0,3,This seems to me to unfair because I have no idea what is being judged. Tone and customer comments are the place to start not the sole criteria.,2,1,1,4,5,6,It does not seem to lend itself to quality determinations.,2,Without more info it just seems weak to me.,2,27,2,3,1,A sort of decision making program.
3.3333333333333335,R_yPgpJHz3xwJX91T,2,1,1,0,0.0,0.0,7,"All employees are subject to this algorithm, so it's fair for everyone involved.",4,4,4,5,5,6,I feel like Chris would be annoyed at the fact that the algorithm seemingly singled him out.,4,"I don't know exactly how the algorithm works so I can't be sure if it's properly working. So, I am hesitant to put all my trust in it.",2,59,1,6,1,Algorithms represent a set of rules/processes that a program follows to solve a problem
5.5,R_21vqsl8WjbbLZeB,4,5,5,0,0.0,0.0,6,People are evaluated in every job.,4,4,5,2,1,1,Chris does a good job and knows what to expect in an evaluation.,5,I assume the manager knows his/her job.,2,69,1,6,1,0
3.5,R_2Xjtr56bX6iQ341,1,3,1,the algorithm assigned work regarding the need to replace components.,1.0,0.0,3,the algorithm could be biased.,4,3,3,4,4,5,Chris probably feels indifferent.,4,i am always skeptical of technology replacing human intelligence.,3,30,2,5,1,set of programming steps.
6.0,R_21tj5szSbN9HBYW,2,4,3,The algorithm would take information given by the manager and make recommendations based on said information. The manager would then have the final call.,0.0,0.0,6,I don't understand why it'd be unfair unless Chris did not want to work mornings and explicitly said so.,6,5,4,1,1,1,"I think if it's something that works with his schedule, he'd feel positive feelings and not negative ones.",6,The algorithm should be programmed to take into account many factors; I don't see why I shouldn't trust it.,2,23,1,5,4,Algorithms are programs that take different sets of data and make outputs based on the reconciliation of that data.
5.0,R_ZwbFGQuD1wMxaed,3,4,3,to find the best fit,0.0,0.0,5,it has rules to follow,5,4,4,2,2,3,its helping,4,i would not put full trust but some what,1,44,1,2,1,computers
2.0,R_2TEPkbsBWT6TLMi,4,4,3,The algorithm studies the tones and comments made by customers and the manager reviews the results.,0.0,0.0,3,I think this could have unforeseen consequences ,2,2,2,6,6,6,I would feel a lack of one-on-one feedback from my manager,2,I think the manager should take full responsiblity,1,34,2,6,3,An algorithm is a self-contained sequence of actions to be performed
4.333333333333333,R_WBcATVZlHs8eQb7,2,1,1,0,0.0,0.0,6,part of having a job is working when needed.,4,2,2,2,2,2,I feel like there would be little to no emotion involved in this as work is work.,5,I belive computers are very capable,1,31,1,5,1,Computer genrated decisions based upon numbers and averages.
3.3333333333333335,R_3PGfd9DC9R3uEEf,3,1,1,0,0.0,0.0,6,I think the computer know what to chexk to pick the top applicats. It is completely fair that the computer is looking for specific things in a resume. ,4,4,3,5,5,5,He may be scared that he wont get pock and the computer wont pick fairly. ,6,I trust computers. They do better work then peoplw sometimes. ,1,34,1,5,1,Computers searching for specfic things and makes choices based on that. 
6.0,R_2fvvIsdj5MzFBIp,4,5,5,0,0.0,0.0,5,The manager has to analyze the tones and contents of their calls with the customers.,6,6,6,2,2,2,I think Chris should be okay with being evaluated.,6,Anyone in a management position should make good and smart decisions. ,1,26,1,2,1,0
5.0,R_1fiU6406B5sP6O1,3,2,3,This only indicated that the manager used the algorithm in screening the applicants,0.0,0.0,6,Each candidate is initiually evaluated using the same algorithm,5,4,4,4,2,1,Chris will unlikely have negative feelings on how the applicants were screened.,5,"Although the manager has not met Chris in person, the algorithm can be trusted as an initial screening.",2,46,2,5,1,Certain variables are combined to evaluate certain factors and draw conclusions
4.333333333333333,R_3HS435VSk7OCV4O,3,5,5,0,0.0,0.0,6,The manager would have the most knowledge about who would be the best fit for the job and as such would be in a good position to fairly choose people who should be interviewed.,4,4,5,4,2,5,"I really don't have enough information to make a judgement about Chris's feelings. I'd say he may be a little frusterated if he's applied to many jobs without luck yet, though proud of his accomplishments ",6,The manager has no doubt done this before and knows what he's doing.,1,35,2,5,1,0
4.0,R_DjHDwThHm18MsJr,1,3,3,"With the approval of the manager, the algorithm would assign a task.",0.0,0.0,4,I have no problem either way with this situation.,1,1,1,1,1,1,I don't think Chris really has any feeling's toward this.,5,The algorithm is being supervised.,1,42,2,4,1, A set of rules to be followed in calculations or other problem-solving operations.
1.3333333333333333,R_31aBjAOOtYiIZyI,4,1,1,0,0.0,0.0,2,"Some things require a human touch and intervention to understand. Christ could do everything wrong by the rules, and still have given a great customer service experience",1,1,1,7,6,6,Chris would feel like he was at a disadvantage and that his employer didn't care for him,1,Performance in interpersonal interactions cannot always be measured scientifically,1,27,2,4,1,They are computational processes where by using a set of rules computers can make decisions
