emotion,ID,task,decision maker,HitL mc,MC Human OR,mc error,reading check error,fairness,fairness_OR,happy,joyful,proud,disappointed,angry,frustrated,emotion_OR,trust,trust_OR,programming exp,age,gender,education,ethnicity,algorithm definition
3.0,R_es0PXQd9RurWtVL,3,2,3.0,The algorithm chooses the top 3 and then the manager chooses from there,0.0,0.0,3.0,"I think a person, not a computer, should make this decision",2,2,2,2,4,6,I would feel primarily frustrated,4.0,"He wouldn't have all the resumes, just the top 3",2,26,1,6,1,A computer sequence
3.0,R_tMnDQ1YCcxicgqB,3,5,5.0,0,0.0,0.0,5.0,They were the TOP applicants.,3,3,2,5,4,5,Chris was disappointed,5.0,"He is the manager, he should know what is best.",2,24,2,5,1,0
5.666666666666667,R_29llCaezlcUf8AN,3,3,1.0,the manager applies the algorithm and the algorithm supplies with the right answer ,1.0,0.0,5.0,because it makes things more precise and saves time ,5,6,6,2,3,2,why would he be mad about it. if he's the right fit it will show,5.0,because its a computer program so I trust it ,2,24,1,5,1,computer programs 
5.333333333333333,R_27J47KW252mwgPQ,4,5,5.0,0,0.0,0.0,6.0,the managers job is to evaluate his employees,4,4,6,2,2,2,normal response to an evaluation,5.0,employers do this all the time,1,19,1,3,1,0
2.3333333333333335,R_3JmWnhZz1pLgtBE,4,5,5.0,0,0.0,0.0,5.0,He needs to be able to analyze the calls so they know what he is doing well and what he is not.,2,2,2,4,6,6,"Just because it's policy, doesn't mean he will enjoy it.",5.0,I don't know him personally but since he is the manager I have a certain sense of trust in him,1,22,1,5,1,0
3.1666666666666665,R_1OfcnWbd6BzXlKx,4,1,1.0,0,0.0,0.0,4.0,I don't know what criteria the algorithm uses so I can't judge whether it's fair or not. ,4,4,4,6,6,5,He might feel that the algorithm is biased.  ,2.0,Maybe the computer can't make good judgments. ,1,31,2,5,1,A set of rules or steps done by a computer.
2.8333333333333335,R_1lrxUINl4CRDT4M,2,3,3.0,"Algorithm makes the schedule, and the manager approves it.",0.0,0.0,6.0,The algorithm does not have any bias towards any employee; it simply looks at numbers and determines the schedule.,3,3,3,5,5,6,Even though the process is fair; it does not give Chris much agency in his schedule.,5.0,"Barring any unforseen circumstances, the process will decided what is needed an when.",2,31,2,5,1,They are computations made based off of previous results. 
4.0,R_2AGZFRTYJeHfIrY,2,3,1.0,Processing information,1.0,1.0,5.0,Gut feeling ,6,2,5,5,4,4,Gut feeling,4.0,My gut opinion,2,36,2,3,1,Bits of computer code. 
4.0,R_3PYx7KrCciTMotN,4,5,5.0,0,0.0,0.0,6.0,It is part of the manager's job to evaluate his employees. It is a condition of the job.,4,4,4,4,4,4,I think Chris should expect frequent evaluations. They should be routine. ,7.0,A manager should have the right ethical descretion to make good evaluations. ,1,33,1,5,1,0
6.0,R_28MUYOt4OJ034ff,2,5,5.0,0,0.0,0.0,6.0,"That's what managers do, and Chris should be aware of that when he took the job.",6,6,6,2,2,2,"He should feel good that the manager wants him there during, what is most likely, the busiest time.",6.0,"It's his job, it's what he's used to. Why wouldn't I trust his decisions?",1,64,1,3,1,0
