emotion,ID,task,decision maker,mc,mc error,reading check error,fairness,fairness_OR,happy,joyful,proud,disappointed,angry,frustrated,emotion_OR,trust,trust_OR,programming exp,age,gender,education,ethnicity,algorithm definition
,R_ufB5X4DAIEatsK5,4,3,3,0.0,0.0,2,It is too one-sided and a computer cannot take into account past performance and properly evaluate emotions.,2,2,3,2,6,6,He feels like he is being misunderstood,2,The manager might not be entirely committed to his job if he has an algorithm doing most of the work,2,23,2,5,4,"Algorithms are a set of rules, in this case, programmed to analyze data."
,R_3ndBVKYJW6wpkHS,3,4,4,0.0,0.0,6,"Because it uses both technical analysis via the algorithm, but also a human touch with the manager",4,4,4,4,4,3,"Because if i were in his shoes, I'd feel indifferent if I were judged on those things",4,I trust the algorithm to an extent because it's free of bias and views me objectively,1,22,2,3,4,almost a filter or a calculation that runs through data and either sorts or filters out certain candidates or subjects
,R_2eRyCTagqZ2DdFa,3,1,1,0.0,0.0,1,"People's vernacular varies, and if the 'keywords' don't contain how one individual would speak, then it's retarded. ",7,6,5,1,1,2,He's validated by the decision. ,3,"People's vernacular varies, and if the 'keywords' don't contain how one individual would speak, then it's retarded. ",1,33,2,4,1,Formulas used to decide outcomes. 
,R_2X1hgP2k2RfEkQ1,4,1,1,0.0,0.0,2,"Without a really good reason, I don't see how this is fair to the individual. Like, maybe a customer complaining it would be justified.",2,2,2,4,3,5,"He may feel anger over the algorithm, because he felt like he was doing a fine job. ",2,"An algorithm, to the best of my knowledge, can't determine quality.",1,26,2,4,1,"They're patterns, I believe."
,R_z0vfl58IN1MRzKF,1,4,4,0.0,0.0,6,"If the algorithim can identify weak parts of machinery, no reason to not use it.",3,5,4,2,2,4,im not really sure,6,it is focused only on the data,1,25,2,5,1,computer models
,R_2Br32Ol1P1Ldma4,3,5,5,0.0,0.0,6,It is the business' right to use this hiring process. Looking through and picking the most favorable candidates for onsite review is thus far.,2,1,2,2,3,5,I answered this with the assumption that Chris wasn't chosen. Of course his feelings would probably differ if he was picked.,5,I'm assuming the manager has experience in their hiring process and understands what it takes for deserving candidates.,1,20,2,4,1,0
,R_OKfZFY0NKRxfnB7,4,2,3,1.0,0.0,5,It's an objective way of measuring performance.,4,4,3,5,4,3,It would put pressure on him but it wouldn't be completely horrible.,5,Performance is still subjective but for the most part you can trust an objective way of measuring like this algorithm ,2,25,2,5,1,code that carries out a function
,R_3P4TuVXZP6WlKMs,4,5,5,0.0,0.0,7,It is fair because he needs to know how the employees are performing. ,2,3,5,6,3,6,I believe it is frustrating to have someone review your work. ,6,Most managers will be honest in their evaluations. ,2,30,2,5,1,0
,R_22LnNl4IZzqoBnn,2,5,5,0.0,0.0,6,The manager took the employee's availability into consideration.,5,4,4,2,2,2,"I don't think he'd feel much. At best, he'd be happy to have his availability respected.",6,He seems to take the proper things into consideration.,2,32,2,5,1,0
,R_VULyilIsrFOILhn,1,5,5,0.0,0.0,7,IT IS THE MANAGERS JOB TO ASSIGN THESE DUTIES TO EMPLOYEES.,4,4,5,2,2,2,HE'S PROBABLY NOT AGRY BUT NOT EXACTLY THRILLED TO BE ASSIGNED A TASK.,4,HE PROBABLY HAS BEEN ASSIGNED THIS MANAGERIAL JOB FOR A REASON,1,36,1,4,1,0
